"Date","Open","High","Low","Last","Volume","Turnover"
"2019-08-02",4.8315,4.863,4.778,4.817,397692.0,1915846.0
"2019-08-01",4.84,4.955,4.84,4.955,301645.0,1479520.0
"2019-07-31",4.894,4.927,4.8655,4.8845,229075.0,1120295.0
"2019-07-30",5.02,5.034,4.893,4.91,312514.0,1546016.0
"2019-07-29",5.04,5.078,5.02,5.026,276993.0,1395806.0
"2019-07-26",5.067,5.119,5.032,5.054,748860.0,3800840.0
"2019-07-24",4.6055,4.6755,4.5815,4.633,447263.0,2074256.0
"2019-07-23",4.5895,4.6395,4.589,4.605,322462.0,1486058.0
"2019-07-22",4.569,4.59,4.544,4.5815,252186.0,1153430.0
"2019-07-19",4.546,4.594,4.4865,4.585,202294.0,924772.0
"2019-07-18",4.531,4.6,4.53,4.546,266648.0,1218175.0
"2019-07-17",4.5555,4.5555,4.486,4.532,356380.0,1612716.0
"2019-07-16",4.4945,4.6015,4.48,4.5875,288880.0,1317351.0
"2019-07-15",4.489,4.5265,4.47,4.5265,475762.0,2149658.0
"2019-07-12",4.4825,4.52,4.48,4.48,248117.0,1115108.0
"2019-07-05",4.49,4.501,4.459,4.459,194959.0,872482.6205
"2019-07-04",4.485,4.5285,4.4795,4.4975,194617.0,875508.3035
"2019-07-03",4.451,4.52,4.4235,4.4915,206538.0,927008.312
"2019-07-02",4.4295,4.4745,4.3995,4.443,216355.0,961627.5365
"2019-07-01",4.39,4.431,4.32,4.425,545435.0,2397891.849
"2019-06-28",4.34,4.404,4.34,4.3815,275185.0,1203759.3935
"2019-06-27",4.4035,4.4165,4.3335,4.3505,312833.0,1365502.7935
"2019-06-26",4.38,4.425,4.35,4.394,230006.0,1009765.1445
"2019-06-25",4.402,4.408,4.31,4.362,470276.0,2047907.478
"2019-06-24",4.504,4.537,4.4005,4.42,512387.0,2274478.936
"2019-06-21",4.5075,4.549,4.405,4.525,3484624.0,15603019.4585
"2019-06-20",4.4885,4.557,4.46,4.5445,826578.0,3741470.3765
"2019-06-19",4.435,4.5,4.394,4.464,266908.0,1189032.428
"2019-06-18",4.402,4.484,4.3655,4.4435,275949.0,1225100.8105
"2019-06-17",4.4,4.4305,4.3795,4.3965,311124.0,1368842.1685
"2019-06-14",4.4535,4.4535,4.3675,4.3985,417846.0,1839334.9395
"2019-06-13",4.492,4.5295,4.4495,4.4615,345152.0,1543439.8555
"2019-06-12",4.4985,4.53,4.462,4.4685,190707.0,854768.9375
"2019-06-11",4.4015,4.5435,4.4,4.5225,433898.0,1949015.8895
"2019-06-10",4.4785,4.48,4.3645,4.38,405522.0,1787321.141
"2019-06-07",4.4205,4.464,4.385,4.444,219181.0,972289.719
"2019-06-06",4.4305,4.5,4.405,4.411,301308.0,1341035.462
"2019-06-05",4.4805,4.5,4.3965,4.416,399800.0,1782251.502
"2019-06-04",4.421,4.492,4.39,4.453,276494.0,1228736.8645
"2019-06-03",4.4615,4.49,4.35,4.436,600591.0,2649323.8675
"2019-05-31",4.497,4.506,4.4375,4.4935,610381.0,2732738.6595
"2019-05-30",4.484,4.5725,4.4645,4.56,800826.0,3626031.88
"2019-05-29",4.45,4.474,4.378,4.4095,364770.0,1614009.3415
"2019-05-28",4.538,4.58,4.4905,4.506,269678.0,1218964.026
"2019-05-27",4.525,4.567,4.525,4.561,195107.0,887772.421
"2019-05-24",4.4255,4.56,4.4255,4.4885,537794.0,2415883.8885
"2019-05-23",4.564,4.564,4.41,4.418,450929.0,2003931.982
"2019-05-22",4.54,4.586,4.5095,4.574,433839.0,1975851.902
"2019-05-21",4.584,4.627,4.557,4.57,776918.0,3567195.273
"2019-05-20",4.5,4.6,4.4835,4.506,1299881.0,5903236.436
"2019-05-17",4.4305,4.459,4.357,4.4365,363107.0,1603705.571
"2019-05-16",4.28,4.428,4.237,4.4125,784859.0,3414496.102
"2019-05-15",4.266,4.267,4.17,4.249,812708.0,3420225.9815
"2019-05-14",4.2775,4.3145,4.26,4.2745,538696.0,2309997.32
"2019-05-13",4.346,4.346,4.2335,4.2515,939731.0,4003274.824
"2019-05-10",4.4005,4.41,4.31,4.32,756971.0,3291766.8055
"2019-05-09",4.41,4.4285,4.3505,4.362,389123.0,1706507.561
"2019-05-08",4.479,4.516,4.42,4.441,356823.0,1586644.2115
"2019-05-07",4.569,4.582,4.435,4.479,543915.0,2447053.68
"2019-05-06",4.475,4.5625,4.46,4.5625,538895.0,2434083.955
"2019-05-03",4.618,4.618,4.54,4.5955,497918.0,2279877.5785
"2019-05-02",4.67,4.67,4.596,4.6075,235749.0,1090353.7535
"2019-04-30",4.734,4.7425,4.6305,4.6575,617759.0,2884252.96
"2019-04-29",4.804,4.804,4.745,4.745,524462.0,2506757.9025
"2019-04-26",4.714,4.844,4.6995,4.7655,1238863.0,5893580.978
"2019-04-25",4.7165,4.813,4.6,4.689,2179696.0,10229115.4595
"2019-04-24",5.144,5.178,5.114,5.178,290386.0,1495071.678
"2019-04-23",5.125,5.144,5.092,5.108,366998.0,1879116.369
"2019-04-18",5.082,5.147,5.067,5.137,407585.0,2088013.89
"2019-04-17",5.082,5.11,5.027,5.075,516617.0,2623971.68
"2019-04-16",5.001,5.048,4.9755,5.016,429682.0,2154013.795
"2019-04-15",5.111,5.149,4.96,4.9855,985609.0,4957472.6465
"2019-04-12",5.184,5.22,5.166,5.2,319878.0,1661224.541
"2019-04-11",5.15,5.19,5.128,5.18,299351.0,1544595.296
"2019-04-10",5.181,5.216,5.155,5.155,160979.0,833636.948
"2019-04-09",5.234,5.258,5.18,5.197,213819.0,1113460.687
"2019-04-08",5.25,5.256,5.214,5.235,159824.0,837868.753
"2019-04-05",5.247,5.273,5.23,5.243,114023.0,599203.877
"2019-04-04",5.229,5.287,5.207,5.252,196963.0,1033533.468
"2019-04-03",5.17,5.262,5.17,5.262,273130.0,1429053.33
"2019-04-02",5.114,5.189,5.099,5.147,175277.0,902539.258
"2019-04-01",5.1,5.139,5.093,5.114,285750.0,1460797.209
"2019-03-29",5.05,5.094,5.032,5.086,421641.0,2136134.526
"2019-03-28",5.128,5.142,5.01,5.038,481169.0,2427839.504
"2019-03-27",5.15,5.19,5.11,5.138,358060.0,1841297.958
"2019-03-26",5.162,5.17,5.096,5.116,421139.0,2160345.598
"2019-03-25",5.16,5.226,5.128,5.162,440897.0,2284880.88
"2019-03-22",5.404,5.45,5.066,5.238,2576078.0,13436000.876
"2019-03-21",5.448,5.538,5.42,5.508,468630.0,2578802.99
"2019-03-20",5.546,5.554,5.458,5.458,483124.0,1763947.716
"2019-03-19",5.562,5.606,5.562,5.598,268940.0,1504023.05
"2019-03-18",5.6,5.62,5.544,5.544,341007.0,1901436.104
"2019-03-15",5.466,5.61,5.466,5.596,892814.0,4969014.25
"2019-03-14",5.39,5.476,5.374,5.46,202076.0,1099653.2
"2019-03-13",5.416,5.432,5.38,5.394,154324.0,833835.012
"2019-03-12",5.422,5.45,5.392,5.436,149694.0,812977.754
"2019-03-11",5.368,5.432,5.318,5.41,297718.0,1606687.482
"2019-03-08",5.314,5.358,5.26,5.354,255993.0,1359223.224
"2019-03-07",5.33,5.376,5.308,5.358,199591.0,1067097.214
"2019-03-06",5.372,5.4,5.332,5.336,126586.0,677565.856
"2019-03-05",5.33,5.408,5.33,5.38,222719.0,1196393.2
"2019-03-04",5.354,5.382,5.326,5.328,209910.0,1124397.318
"2019-03-01",5.346,5.392,5.316,5.336,309508.0,1653778.698
"2019-02-28",5.326,5.358,5.286,5.326,341403.0,1816556.4
"2019-02-27",5.352,5.374,5.312,5.346,218220.0,1168058.35
"2019-02-26",5.368,5.416,5.32,5.41,191715.0,1029812.108
"2019-02-25",5.476,5.504,5.398,5.414,365749.0,1996477.762
"2019-02-22",5.408,5.474,5.38,5.458,196685.0,1068393.092
"2019-02-21",5.344,5.404,5.31,5.4,197538.0,1057445.754
"2019-02-20",5.384,5.406,5.302,5.348,408456.0,2184462.456
"2019-02-19",5.522,5.544,5.372,5.396,236084.0,1281423.77
"2019-02-18",5.546,5.574,5.542,5.544,185137.0,1027653.55
"2019-02-15",5.5,5.574,5.494,5.56,343815.0,1908377.312
"2019-02-14",5.6,5.604,5.536,5.544,228459.0,1273458.574
"2019-02-13",5.454,5.59,5.448,5.56,481155.0,2663543.35
"2019-02-12",5.49,5.51,5.42,5.424,263993.0,1441395.316
"2019-02-11",5.4,5.486,5.4,5.464,347071.0,1890836.718
"2019-02-08",5.226,5.41,5.202,5.398,666977.0,3529847.278
"2019-02-07",5.28,5.302,5.226,5.234,308763.0,1622040.092
"2019-02-06",5.272,5.356,5.266,5.316,292028.0,1552135.0
"2019-02-05",5.298,5.312,5.24,5.302,542702.0,2869472.402
"2019-02-04",5.352,5.398,5.228,5.266,505076.0,2669826.092
"2019-02-01",5.468,5.468,5.354,5.396,560507.0,3031213.57
"2019-01-31",5.32,5.604,5.27,5.494,1668916.0,9115759.0
"2019-01-30",5.706,5.73,5.594,5.65,492511.0,2785309.834
"2019-01-29",5.628,5.702,5.588,5.688,486196.0,2753863.774
"2019-01-28",5.736,5.736,5.598,5.616,755816.0,4272932.564
"2019-01-25",5.482,5.762,5.482,5.762,1686126.0,9530663.95
"2019-01-24",5.324,5.442,5.32,5.422,402058.0,2168356.268
"2019-01-23",5.21,5.36,5.2,5.318,253132.0,1340577.576
"2019-01-22",5.3,5.338,5.238,5.278,212869.0,1123995.56
"2019-01-21",5.328,5.366,5.294,5.346,350157.0,1869000.01
"2019-01-18",5.234,5.344,5.234,5.302,713690.0,3792305.522
"2019-01-17",5.176,5.244,5.176,5.22,217218.0,1133028.738
"2019-01-16",5.28,5.28,5.162,5.168,174403.0,908269.67
"2019-01-15",5.244,5.3,5.194,5.256,255607.0,1340122.586
"2019-01-14",5.216,5.284,5.206,5.226,282103.0,1477814.55
"2019-01-11",5.32,5.324,5.204,5.254,296325.0,1560953.53
"2019-01-10",5.326,5.326,5.238,5.324,586089.0,3102206.09
"2019-01-09",5.332,5.366,5.3,5.332,663629.0,3541949.164
"2019-01-08",5.232,5.324,5.204,5.26,846477.0,4458304.934
"2019-01-07",5.186,5.214,5.13,5.204,625221.0,3244297.648
"2019-01-04",4.946,5.118,4.924,5.108,848733.0,4292567.792
"2019-01-03",4.972,5.0,4.874,4.911,475825.0,2343431.041
"2019-01-02",4.998,5.038,4.945,5.016,454838.0,2278245.493
"2018-12-31",5.0,5.064,4.998,5.064,177987.0,896655.08
"2018-12-28",4.878,5.036,4.878,5.032,523586.0,2604526.083
"2018-12-27",4.98,5.014,4.808,4.857,852059.0,4165223.084
"2018-12-24",4.936,4.974,4.93,4.95,125769.0,622889.06
